file,noisy_si_sdr,enhanced_si_sdr,si_sdr_improvement,speech_preservation_db,quiet_noise_reduction_db,quiet_enhanced_rms_dbfs,quiet_low_rms_dbfs,quiet_high_rms_dbfs,quiet_low_high_ratio_db,active_fraction,quiet_fraction,failure_mode
mix_0010.wav,3.93062686920166,10.534781455993652,6.604154586791992,-0.9654231013448556,15.500873585973697,-44.89463169855252,-38.79479065445527,-62.57791974424171,23.783129089786442,0.944,0.064,ok
mix_0011.wav,2.7690136432647705,9.823736190795898,7.054722547531128,-1.1778561369082279,14.982586488637466,-47.496330792388754,-44.29190306537844,-62.321976995941036,18.030073930562587,0.936,0.04,ok
mix_0012.wav,7.426486492156982,10.113434791564941,2.686948299407959,-0.8228479362200731,14.59996554594726,-54.94370642848432,-51.02333897694866,-70.9676468724256,19.94430789547695,0.936,0.056,ok
mix_0013.wav,4.036946773529053,9.564724922180176,5.527778148651123,-0.47170975753929456,16.165713446016746,-45.65863026291109,-40.666606615994084,-76.2735725366711,35.606965920677005,0.92,0.048,ok
mix_0014.wav,-0.9267372488975525,6.234414577484131,7.161151826381683,-1.4377591439204442,11.824945264540222,-33.791098527088096,-31.537872116153267,-68.60411007331946,37.06623795716619,0.96,0.04,low_freq_wind
mix_0015.wav,1.1826293468475342,6.7433905601501465,5.560761213302612,-1.4313415335497683,9.556788946579895,-32.286084941861056,-27.7864980995005,-71.22549361043653,43.43899551093603,0.888,0.104,low_freq_wind
mix_0016.wav,9.212113380432129,12.107439994812012,2.895326614379883,-0.40584217005210055,12.055708046689094,-41.47233261828773,-35.4263405487219,-63.78823431796695,28.361893769245047,0.856,0.112,ok
mix_0017.wav,3.1886398792266846,7.618399620056152,4.429759740829468,-1.4547088269495485,20.61983786892045,-51.374773956307834,-48.489399043346104,-82.82303213307065,34.33363308972454,0.944,0.032,ok
mix_0018.wav,6.857900619506836,11.809934616088867,4.952033996582031,-1.3086065734098407,12.659953044085096,-42.04513027921682,-34.83125393178081,-68.54876149613563,33.717507564354825,0.784,0.176,ok
mix_0019.wav,5.942933082580566,10.052112579345703,4.109179496765137,-0.6209528709100529,9.443476812156648,-28.26431118867056,-22.38107321437433,-70.7527993289863,48.37172611461196,0.976,0.016,low_freq_wind
mix_0020.wav,-4.165772438049316,1.5846449136734009,5.750417351722717,-2.1228245896422235,14.441811409686638,-33.017396871793025,-25.64816278559337,-90.44862664260586,64.80046385701249,0.944,0.032,low_freq_wind
mix_0021.wav,14.334916114807129,14.984195709228516,0.6492795944213867,-0.2619879458304744,17.055419814558128,-50.745869560324124,-51.19903436604112,-66.00490031562394,14.805865949582826,0.904,0.08,ok
mix_0022.wav,6.236401557922363,12.434945106506348,6.198543548583984,-1.0193731866863183,19.687822961565754,-51.26676014328026,-45.303381590738745,-85.91052329370685,40.60714170296811,0.864,0.104,ok
mix_0023.wav,13.119930267333984,14.2461576461792,1.1262273788452148,-0.6023409187201842,14.977462017355823,-50.219597836750594,-43.95327102544924,-66.80131684804337,22.848045822594138,0.896,0.104,ok
mix_0024.wav,3.8298633098602295,7.474954128265381,3.6450908184051514,-1.0401327130824074,18.44910114038391,-44.626180857918456,-35.956290087644696,-69.6947371087854,33.738447021140715,0.888,0.112,ok
mix_0025.wav,5.260394096374512,9.809978485107422,4.54958438873291,-0.386174916042546,10.921877412785602,-40.74133643416264,-38.43977297043899,-67.73283057304396,29.293057602604975,0.896,0.096,ok
mix_0026.wav,14.289674758911133,14.605250358581543,0.31557559967041016,-0.6955273999462586,18.354116356286085,-54.13207040211461,-53.18198057464683,-73.61072727677514,20.428746702128315,0.832,0.152,ok
mix_0027.wav,-1.0991449356079102,6.468982696533203,7.568127632141113,-2.4449812625357046,14.549101791055172,-37.64442622386424,-30.88926643091943,-68.98962669541191,38.10036026449249,0.792,0.2,low_freq_wind
mix_0028.wav,12.000734329223633,13.600617408752441,1.5998830795288086,-0.8046803089342779,6.966352345918213,-41.38952738772773,-39.065037474475574,-80.53193353076311,41.46689605628754,0.928,0.04,ok
mix_0029.wav,14.647335052490234,14.953322410583496,0.3059873580932617,-0.6339078292783646,9.438631622723525,-49.9610670241427,-48.69246350545542,-58.83771558649627,10.145252081040859,0.968,0.032,ok
mix_0030.wav,-1.01657235622406,6.850984573364258,7.867556929588318,-0.822953785603749,12.729506944750845,-34.73258164084851,-30.34476378070756,-68.60604373053584,38.261279949828285,0.928,0.104,low_freq_wind
mix_0031.wav,-0.5142629146575928,7.907337665557861,8.421600580215454,-1.1473950880958792,27.83609485963058,-56.982858780900926,-51.808632037631,-88.34774561860657,36.539113580975574,0.968,0.024,ok
mix_0032.wav,-2.955719470977783,6.112800598144531,9.068520069122314,-1.3823666731157422,22.326408655035756,-43.24992896920801,-45.65476169085605,-75.89487773145622,30.24011604060018,0.936,0.056,ok
mix_0033.wav,5.513241291046143,10.330476760864258,4.817235469818115,-0.989349004747,19.566457610340557,-45.39074242941194,-40.08101352165957,-72.33855354772736,32.25754002606779,0.8,0.168,ok
mix_0034.wav,12.864680290222168,17.055356979370117,4.190676689147949,-0.4796868686789885,19.859721366316748,-56.543399019376835,-51.29858409390752,-85.38226694389104,34.08368284998352,0.864,0.136,ok
