file,noisy_si_sdr,enhanced_si_sdr,si_sdr_improvement,speech_preservation_db,quiet_noise_reduction_db,quiet_enhanced_rms_dbfs,quiet_low_rms_dbfs,quiet_high_rms_dbfs,quiet_low_high_ratio_db,active_fraction,quiet_fraction,failure_mode
mix_0034.wav,-1.2953550815582275,13.943899154663086,15.239254236221313,-0.8384016285810293,28.81348363507797,-52.489802961910954,-48.54514365601469,-67.78881308897682,19.243669432962125,0.856,0.144,ok
mix_0035.wav,0.19084316492080688,6.509859561920166,6.319016396999359,-1.578627935260333,8.499574968364099,-31.228874484835316,-23.421541362052558,-62.31281294376813,38.89127158171557,0.888,0.048,low_freq_wind
mix_0036.wav,-3.110715389251709,3.22141170501709,6.332127094268799,-1.8380394812159595,10.106502009627313,-27.85994248948898,-22.012112663401517,-58.43237938991426,36.42026672651275,0.872,0.112,low_freq_wind
mix_0037.wav,4.121194839477539,10.616331100463867,6.495136260986328,-1.5531586615977808,27.68210101269972,-52.085650941295356,-49.13403277329418,-59.505294568326974,10.371261795032796,0.92,0.048,ok
mix_0038.wav,4.239287376403809,12.317070007324219,8.07778263092041,-1.0318854740853465,28.026631868377677,-55.25458967305225,-50.233433416595915,-75.53252672425587,25.299093307659952,0.936,0.072,ok
mix_0039.wav,13.95627212524414,13.253531455993652,-0.7027406692504883,-1.7765576499787166,12.97455207751498,-47.12328781878722,-41.342967071541324,-68.3783043571548,27.035337285613473,0.984,0.016,regression
mix_0040.wav,14.16822624206543,11.569250106811523,-2.5989761352539062,-1.148334379527715,18.231285306579117,-54.6758324375216,-58.853803113359085,-69.79560413844922,10.94180102509014,0.976,0.016,regression
mix_0041.wav,1.8788740634918213,13.863835334777832,11.98496127128601,-1.8149591287591935,24.636239285283132,-50.786369236856444,-47.93336066751658,-59.91265634938705,11.979295681870465,0.84,0.152,ok
mix_0042.wav,5.452397346496582,11.983034133911133,6.530636787414551,-1.3475023741522727,25.39365810773928,-51.80820848758106,-53.9975963752143,-56.182086938845416,2.184490563631123,0.84,0.12,ok
mix_0043.wav,2.6801156997680664,4.88948917388916,2.2093734741210938,-3.0140845131199474,8.438786019477298,-34.07281147594081,-28.614526157618908,-59.07589962025662,30.461373462637713,0.912,0.032,low_freq_wind
mix_0044.wav,8.234618186950684,16.030664443969727,7.796046257019043,-1.2193309336860279,22.96415350880276,-54.2356625561795,-57.27715624035727,-58.528484735601666,1.251328495244395,0.704,0.304,ok
mix_0045.wav,-4.653110980987549,8.639019966125488,13.292130947113037,-2.046445146680652,33.977726361320954,-47.23875512402145,-41.98645019884458,-64.89404928093265,22.907599082088076,0.904,0.072,ok
mix_0046.wav,-1.5121639966964722,5.1321821212768555,6.644346117973328,-1.971876804469066,12.789489852454835,-34.724364100744374,-28.438039627054557,-61.45352608518125,33.0154864581267,0.952,0.056,low_freq_wind
mix_0047.wav,10.088769912719727,13.405741691589355,3.316971778869629,-1.06327423419741,1.4665674360087158,-23.002682777945694,-18.069400319868127,-45.71646120942762,27.64706088955949,1.0,1.0,residual_noise
mix_0048.wav,-0.5809245705604553,7.577310562133789,8.158235132694244,-2.186737875399353,23.641627268209735,-46.73403748467406,-51.810601372579626,-49.48159719937027,-2.329004173209362,0.912,0.056,ok
mix_0049.wav,6.300352096557617,10.80445671081543,4.5041046142578125,-1.3160496991333925,15.915570235330263,-45.51620502804382,-41.883015179231585,-64.34092459623707,22.457909417005478,0.848,0.088,ok
mix_0050.wav,11.223718643188477,15.304983139038086,4.081264495849609,-1.051975894412964,19.098773044559398,-55.48773832567985,-48.944823820780734,-72.1896112907308,23.24478746995006,0.84,0.152,ok
mix_0051.wav,12.872830390930176,14.343609809875488,1.4707794189453125,-0.8122054298627963,22.253553413838834,-57.65460862462543,-56.26749415198145,-61.90588419522672,5.638390043245266,0.88,0.128,ok
mix_0052.wav,-3.302107810974121,8.14902114868164,11.451128959655762,-1.9376604154013612,22.366691458914172,-45.35109173280066,-45.215897625441706,-54.39347514815135,9.177577522709644,0.864,0.088,ok
mix_0053.wav,-0.7000689506530762,5.398077011108398,6.098145961761475,-3.391237972050391,17.931677812064386,-37.907941179932855,-33.65820231653466,-55.2313606001649,21.57315828363023,0.808,0.2,low_freq_wind
mix_0054.wav,14.427650451660156,16.163299560546875,1.7356491088867188,-0.9065376366550664,29.737087055491564,-62.748288138903945,-56.16235380975184,-73.82826644267365,17.665912632921803,0.968,0.016,ok
mix_0055.wav,1.6761586666107178,7.386734962463379,5.710576295852661,-2.0351478906065403,22.717302522185147,-46.53657604039375,-48.0619269815805,-52.09585354389432,4.033926562313822,0.92,0.112,ok
mix_0056.wav,5.829235076904297,13.80164623260498,7.972411155700684,-1.0916954428372887,25.250636883282517,-53.58297084524706,-52.17119899779991,-70.16459456098536,17.993395563185462,0.864,0.152,ok
mix_0057.wav,3.309019088745117,6.996005058288574,3.686985969543457,-3.5473008018236167,17.143231363718517,-43.65631260933597,-37.75166356623752,-53.991311112532934,16.239647546295416,0.928,0.048,ok
mix_0058.wav,-4.403365135192871,8.612549781799316,13.015914916992188,-1.8718448160365866,29.44981844387692,-47.348176865451556,-43.89034664860836,-54.612242697306925,10.721896048698571,0.864,0.08,ok
mix_0059.wav,2.372466564178467,13.815449714660645,11.442983150482178,-1.639786330336196,22.345301937416167,-51.71546539997556,-47.21104927727771,-66.76628234033709,19.55523306305938,0.992,0.016,ok
mix_0060.wav,12.47307300567627,15.02495002746582,2.551877021789551,-0.7838377128083771,22.930233054324574,-56.57144785280613,-50.33207068317399,-67.20269371666153,16.87062303348754,0.888,0.104,ok
